date       dec1    dec2     dec9    dec10
19950228 0.033707 0.054618 0.035179 0.02917
19950331 0.026382 0.029436 0.019542 0.015455
19950428 0.033405 0.011473 0.029504 0.022728
19950531 0.040273 0.039629 0.022526 0.021166
19950630 0.024989 0.02585 0.064458 0.053178
19950731 0.032847 0.038494 0.068153 0.05476
19950831 0.002866 0.019265 0.039186 0.045219
19950929 0.050035 0.027397 0.023991 0.024205
19951031 0.003612 -0.019205 -0.052517 -0.05109
19951130 0.040163 0.056874 0.026184 0.004368
19951229 0.018984 0.005386 0.015189 0.009222
19960131 0.036889 0.022652 0.008269 0.025798
19960229 0.010501 0.02396 0.029254 0.032813
19960329 0.004519 0.018049 0.030501 0.023811
19960430 0.009788 0.02737 0.091028 0.075263
19960531 0.028797 0.016967 0.069949 0.07264
19960628 0.008968 -0.011392 -0.064394 -0.050196
19960731 -0.040952 -0.063569 -0.087742 -0.082785
19960830 0.018382 0.03881 0.056509 0.039203
19960930 0.059604 0.05495 0.039265 0.027036
19961031 0.026342 0.010445 -0.0226 -0.018863
19961129 0.076851 0.069269 0.029668 0.015347
19961231 -0.019159 -0.020698 0.025419 0.011053
19970131 0.070279 0.034529 0.047142 0.06405
19970228 0.005576 0.003747 -0.019741 -0.01314
19970331 -0.044095 -0.043445 -0.060782 -0.049875
19970430 0.06651 0.031018 -0.040528 -0.041677
19970530 0.059059 0.078192 0.123205 0.091964
19970630 0.047572 0.024477 0.054404 0.046301
19970731 0.081395 0.090081 0.060398 0.050122
19970829 -0.062237 -0.019342 0.045617 0.044348
19970930 0.054214 0.055484 0.09181 0.100175
19971031 -0.029512 -0.035435 -0.034247 -0.021383
19971128 0.050634 0.020393 -0.015843 -0.025167
19971231 0.016337 0.035165 -0.00643 -0.026117
19980130 0.017736 -0.023612 -0.012069 0.009948
19980227 0.07086 0.081074 0.070455 0.055418
19980331 0.054163 0.047296 0.047644 0.055752
19980430 0.014 0.004297 0.028415 0.026445
19980529 -0.01665 -0.030878 -0.059249 -0.044867
19980630 0.051494 0.023557 -0.022024 -0.046448
19980731 -0.00017 -0.042682 -0.062735 -0.060329
19980831 -0.144685 -0.151524 -0.226436 -0.203487
19980930 0.068019 0.061804 0.052543 0.014908
19981030 0.074951 0.084203 0.049184 0.025033
19981130 0.067848 0.045348 0.088599 0.079144
19981231 0.070167 0.049019 0.040477 0.000204
19990129 0.053383 -0.003339 0.046057 0.071178
19990226 -0.032374 -0.02556 -0.073165 -0.054932
19990331 0.042068 0.039699 -0.021774 -0.033678
19990430 0.030212 0.089062 0.10694 0.072808
19990528 -0.032422 0.002682 0.025893 0.040646
19990630 0.054705 0.030323 0.046801 0.027016
19990730 -0.03394 -0.03643 0.015613 0.023021
19990831 -0.003395 -0.017022 -0.026793 -0.024424
19990930 -0.02552 -0.039952 -0.007149 -0.027344
19991029 0.074692 0.054226 -0.025082 -0.017797
19991130 0.029276 0.030766 0.108303 0.097138
19991231 0.07433 0.070104 0.122073 0.089689
20000131 -0.048824 -0.036827 0.062493 0.073146
20000229 0.006427 0.054803 0.159177 0.138943
20000331 0.080684 0.036781 -0.056801 -0.041014
20000428 -0.052073 -0.057757 -0.103435 -0.074328
20000531 -0.040154 -0.019481 -0.071099 -0.047518
20000630 0.049073 0.020176 0.079196 0.039071
20000731 -0.020463 -0.006724 -0.016203 -0.009233
20000831 0.07172 0.094787 0.081315 0.040553
20000929 -0.056161 -0.01226 -0.035467 -0.02343
20001031 -0.016823 -0.024004 -0.081224 -0.071283
20001130 -0.099813 -0.10414 -0.121227 -0.103131
20001229 -0.002043 0.059771 0.000645 -0.038241
20010131 0.027831 0.039481 0.225975 0.3119
20010228 -0.101231 -0.068485 -0.107953 -0.098671
20010330 -0.069256 -0.063118 -0.064648 -0.060684
20010430 0.075246 0.089718 0.064688 0.056319
20010531 0.003478 0.013185 0.116642 0.068933
20010629 -0.025926 -0.012408 0.038849 0.003054
20010731 -0.008703 -0.040571 -0.038902 -0.007198
20010831 -0.068487 -0.044768 -0.03109 -0.030807
20010928 -0.071303 -0.113258 -0.136874 -0.112574
20011031 0.014349 0.026101 0.090239 0.090633
20011130 0.072311 0.076548 0.096119 0.081326
20011231 0.004766 0.02824 0.083801 0.075458
20020131 -0.01343 -0.009763 -0.010566 0.040474
20020228 -0.020976 -0.016285 -0.053272 -0.043918
20020328 0.032069 0.059135 0.100269 0.076702
20020430 -0.067378 -0.023809 0.004527 0.003723
20020531 -0.006208 -0.016865 -0.043165 -0.007787
20020628 -0.07285 -0.063818 -0.021172 -0.056021
20020731 -0.064648 -0.098766 -0.161958 -0.108987
20020830 0.006885 0.005558 -0.014189 -0.004866
20020930 -0.108413 -0.088915 -0.081818 -0.076082
20021031 0.092271 0.065898 0.038566 0.050564
20021129 0.05043 0.052604 0.15276 0.145646
20021231 -0.059577 -0.041226 -0.07646 -0.048669
20030131 -0.027668 -0.012594 -0.018135 0.012644
20030228 -0.016683 -0.0105 -0.028245 -0.025155
20030331 0.012117 0.013815 0.019213 0.011927
20030430 0.080718 0.071879 0.10445 0.107306
20030530 0.043424 0.084414 0.138447 0.160951
20030630 0.01605 0.003247 0.042153 0.06659
20030731 0.015773 0.023308 0.075433 0.088563
20030829 0.01242 0.041761 0.051903 0.046782
20030930 -0.009679 -0.018291 0.003499 0.041733
20031031 0.052378 0.068004 0.086462 0.085889
20031128 0.005789 0.024705 0.042912 0.045373
20031231 0.051521 0.039319 0.028585 0.040898
20040130 0.01703 0.018164 0.060623 0.081826
20040227 0.012491 0.022962 0.003866 0.009642
20040331 -0.019326 -0.002241 -0.011063 0.003573
20040430 -0.009956 -0.021342 -0.037025 -0.035203
20040528 0.00988 0.016336 -0.006264 -0.011484
20040630 0.01329 0.029968 0.042209 0.019956
20040730 -0.031872 -0.038348 -0.094744 -0.067716
20040831 0.004539 0.005296 -0.014929 -0.01182
20040930 0.004727 0.037208 0.053005 0.039942
20041029 0.009385 0.029718 0.020814 0.013021
20041130 0.034768 0.054757 0.097469 0.079791
20041231 0.033266 0.037829 0.039407 0.063656
20050131 -0.024632 -0.021162 -0.045995 -0.036131
20050228 0.018142 0.026701 0.004133 0.006553
20050331 -0.019272 -0.004187 -0.035511 -0.038822
20050429 -0.01388 -0.02558 -0.065443 -0.060221
20050531 0.030747 0.042458 0.066163 0.043404
20050630 -0.003993 0.021184 0.045276 0.046894
20050729 0.032424 0.051888 0.065801 0.0782
20050831 -0.007371 -0.014215 -0.016973 -0.004203
20050930 0.005352 0.017351 -5.8e-05 0.01465
20051031 -0.011138 -0.021264 -0.028541 -0.029749
20051130 0.035621 0.039034 0.048115 0.029295
20051230 -0.003227 0.010571 -0.00355 0.01545
20060131 0.018365 0.049485 0.092628 0.085966
20060228 0.002424 -0.00559 -0.002158 0.008402
