date      bndPeresi     pg        sp
20080131 0.2320964 -0.1100325 -0.0631134
20080229 -0.2904764 0.01155004 -0.03537954
20080331 0.02321222 0.05711636 -0.005977832
20080430 -0.3871238 -0.03810797 0.04645124
20080530 -0.2029016 -0.01502633 0.01061744
20080630 -0.0522762 -0.08265796 -0.08988313
20080731 -0.08062283 0.08008025 -0.009907922
20080829 -0.05107031 0.06345919 0.01211729
20080930 0.1217506 -0.001147658 -0.09518029
20081031 -0.02886441 -0.07059308 -0.185637
20081128 -0.06689403 -0.002948342 -0.07779831
20081231 -0.04365404 -0.04010975 0.007791567
20090130 -0.1585064 -0.1187137 -0.0895495
20090227 -0.07442165 -0.1234645 -0.1164563
20090331 0.002737808 -0.02267617 0.08195319
20090430 0.001345393 0.05755922 0.08977215
20090529 -0.1187671 0.04932907 0.05172015
20090630 -0.02303495 -0.01630521 0.0001959808
20090731 -0.0688375 0.09067399 0.0715222
20090831 -0.02877513 -0.0255445 0.03300915
20090930 -0.02695243 0.06804362 0.03509973
20091030 -0.02885781 0.008937937 -0.01995988
20091130 0.0003119061 0.07232066 0.05577902
20091231 -0.10103 -0.02797364 0.01761494
20100129 0.002610396 0.02218312 -0.03767487
20100226 -0.05360095 0.02771925 0.02811504
20100331 -0.006863104 -0.0001580125 0.05713241
20100430 -0.05087338 -0.009978621 0.01465115
20100528 -0.005089735 -0.01736388 -0.08553174
20100630 0.006037263 -0.0183371 -0.05538798
20100730 -0.06486249 0.02732913 0.06651594
20100831 0.003112549 -0.02466366 -0.04861163
20100930 -0.04408032 0.005015402 0.08392838
20101029 -0.02587454 0.06584766 0.03619306
20101130 -0.04186431 -0.0401212 -0.002292626
20101231 -0.01595905 0.05200499 0.06325645
20110131 -0.02269246 -0.01122679 0.02239339
20110228 -0.03955278 -0.001267803 0.031457
20110331 -0.03195967 -0.02326658 -0.001047548
20110429 -0.04108029 0.06024243 0.02809657
20110531 -0.02965259 0.03184454 -0.01359297
