  PERMNO        date            RET        vwretd        ewretd        sprtrn
   77702    20080829      -0.026283     -0.011673     -0.003383     -0.013724
   77702    20080902       0.011568     -0.006992     -0.003504     -0.004093
   77702    20080903       0.012071     -0.002963     -0.000438     -0.002035
   77702    20080904      -0.053358     -0.028926     -0.021585     -0.029922
   77702    20080905       0.006631      0.003849     -0.000287      0.004431
   77702    20080908       0.023715      0.014857      0.007695      0.020510
   77702    20080909      -0.032175     -0.034931     -0.028931     -0.034138
   77702    20080910       0.001330      0.008548      0.003563      0.006149
   77702    20080911       0.037849      0.010959     -0.002843      0.013806
   77702    20080912      -0.019194      0.005352      0.004946      0.002122
   77702    20080915      -0.016308     -0.045665     -0.039339     -0.047136
   77702    20080916       0.062997      0.015190      0.003425      0.017515
   77702    20080917      -0.028072     -0.045473     -0.040852     -0.047133
   77702    20080918       0.028883      0.044136      0.041546      0.043342
   77702    20080919       0.006862      0.046048      0.049560      0.040257
   77702    20080922      -0.054523     -0.036785     -0.026831     -0.038237
   77702    20080923      -0.013106     -0.015606     -0.012835     -0.015633
   77702    20080924      -0.011288     -0.003268     -0.009146     -0.001978
   77702    20080925       0.002686      0.016569      0.008866      0.019656
   77702    20080926       0.002009     -0.001992     -0.008251      0.003167
   77702    20080929      -0.052807     -0.082545     -0.061278     -0.087897
   77702    20080930       0.049400      0.046621      0.027763      0.054203
   77702    20081001      -0.004707     -0.005667     -0.004615     -0.004544
   77702    20081002      -0.042568     -0.045656     -0.039095     -0.040291
   77702    20081003      -0.035992     -0.014291     -0.016888     -0.013506
   77702    20081006      -0.050512     -0.042416     -0.059322     -0.038518
   77702    20081007      -0.053200     -0.057907     -0.047021     -0.057395
   77702    20081008      -0.061075     -0.011616     -0.026835     -0.011333
   77702    20081009      -0.045100     -0.072738     -0.063671     -0.076167
   77702    20081010       0.006358     -0.012089     -0.006462     -0.011759
   77702    20081013       0.059567      0.114898      0.107422      0.115800
   77702    20081014      -0.037479     -0.009036     -0.001674     -0.005322
   77702    20081015      -0.104425     -0.089763     -0.070781     -0.090350
   77702    20081016       0.043478      0.039641      0.029535      0.042507
   77702    20081017      -0.010417     -0.002485      0.001630     -0.006213
   77702    20081020       0.065072      0.046518      0.035555      0.047685
   77702    20081021      -0.055705     -0.031473     -0.020675     -0.030800
   77702    20081022      -0.049477     -0.059115     -0.048848     -0.061013
   77702    20081023       0.027027      0.000892     -0.020278      0.012634
   77702    20081024      -0.056530     -0.033442     -0.031303     -0.034511
   77702    20081027      -0.009298     -0.036946     -0.035385     -0.031764
   77702    20081028       0.132430      0.095269      0.050386      0.107890
   77702    20081029       0.043278      0.001438      0.021629     -0.011079
   77702    20081030       0.113857      0.031982      0.035643      0.025804
