    date          smb          hml        mktrf          rf          umd
20141111     0.000200    -0.002800     0.001000     0.00000    -0.003400
20141112     0.007700    -0.002800     0.000700     0.00000    -0.002000
20141113    -0.009200    -0.003400    -0.000300     0.00000     0.003900
20141114    -0.001400     0.001500     0.000600     0.00000    -0.007800
20141117    -0.009700     0.002700    -0.000500     0.00000     0.005900
20141118     0.000500    -0.003600     0.005100     0.00000     0.006300
20141119    -0.009300    -0.000600    -0.002100     0.00000    -0.000600
20141120     0.008700    -0.000200     0.003100     0.00000    -0.007300
20141121    -0.003900    -0.000900     0.004800     0.00000    -0.003700
20141124     0.009400    -0.005700     0.004000     0.00000     0.001100
20141125     0.000700    -0.000400    -0.000800     0.00000     0.004900
20141126     0.001000    -0.004500     0.003000     0.00000     0.009800
20141128    -0.009100    -0.010200    -0.003500     0.00000     0.012300
20141201    -0.009500     0.006200    -0.009000     0.00000     0.003200
20141202     0.004200     0.000700     0.006500     0.00000     0.008000
20141203     0.004600     0.003100     0.004600     0.00000    -0.002100
20141204    -0.003100     0.001000    -0.001700     0.00000     0.009200
20141205     0.005700     0.002500     0.002500     0.00000     0.004100
20141208    -0.005700     0.002800    -0.008200     0.00000     0.011200
20141209     0.017000    -0.002900     0.001300     0.00000    -0.003600
20141210    -0.006000    -0.000900    -0.017200     0.00000     0.006500
20141211    -0.000700    -0.001900     0.004900     0.00000     0.002000
20141212     0.004900    -0.005800    -0.015500     0.00000     0.000500
20141215    -0.002600     0.001100    -0.006800     0.00000     0.001500
20141216     0.006200     0.005900    -0.008000     0.00000    -0.006000
20141217     0.008300    -0.001100     0.021500     0.00000    -0.006400
20141218    -0.008700    -0.002000     0.023600     0.00000     0.002500
20141219    -0.002200     0.001800     0.004300     0.00000    -0.010100
20141222     0.001900    -0.000500     0.003700     0.00000     0.002100
20141223    -0.002600     0.010500     0.002100     0.00000    -0.009300
20141224     0.003600    -0.001700     0.000700     0.00000     0.007200
20141226     0.003700    -0.003200     0.003900     0.00000     0.000700
