 DATE      hour minute second       PRICE      SIZE
20100104     9 32 01    57.6704     2200
20100104     9 32 01    57.6704      800
20100104     9 32 03    57.6500      100
20100104     9 32 03    57.6500      100
20100104     9 32 03    57.6600      100
20100104     9 32 04    57.6500      100
20100104     9 32 05    57.6800      400
20100104     9 32 06    57.6800      100
20100104     9 32 06    57.6800      600
20100104     9 32 06    57.6800      100
20100104     9 32 06    57.6800      200
20100104     9 32 06    57.6800      100
20100104     9 32 06    57.6850      100
20100104     9 32 06    57.6800      200
20100104     9 32 06    57.6800      400
20100104     9 32 06    57.6800      300
20100104     9 32 06    57.6800      100
20100104     9 32 06    57.6800      600
20100104     9 32 06    57.6500      100
20100104     9 32 06    57.6500      100
20100104     9 32 06    57.6800      100
20100104     9 32 06    57.6800      100
20100104     9 32 06    57.6800      900
20100104     9 32 06    57.6725      100
20100104     9 32 06    57.6800      180
20100104     9 32 06    57.6650      100
20100104     9 32 06    57.6800      100
20100104     9 32 06    57.6650      100
20100104     9 32 06    57.6800      100
20100104     9 32 07    57.6800      300
20100104     9 32 07    57.6800      400
20100104     9 32 07    57.6800      300
20100104     9 32 07    57.6800      100
20100104     9 32 07    57.6700      100
20100104     9 32 07    57.6900      100
20100104     9 32 08    57.6500      100
20100104     9 32 09    57.6800      100
20100104     9 32 10    57.6700      100
20100104     9 32 10    57.6700      100
20100104     9 32 11    57.6650      100
20100104     9 32 12    57.6800      100
20100104     9 32 12    57.6800      100
20100104     9 32 12    57.6600      100
20100104     9 32 12    57.6600      100
20100104     9 32 12    57.6600      100
20100104     9 32 12    57.6500      100
20100104     9 32 13    57.6700      200
20100104     9 32 16    57.6500      100
20100104     9 32 16    57.6500      100
20100104     9 32 16    57.6500      100
20100104     9 32 17    57.6800      100
20100104     9 32 17    57.6800      100
20100104     9 32 17    57.6800      100
20100104     9 32 17    57.6800      200
20100104     9 32 17    57.6800      100
20100104     9 32 17    57.6700      100
20100104     9 32 17    57.6800      100
20100104     9 32 17    57.6985      300
20100104     9 32 17    57.6800      130
20100104     9 32 17    57.6800      100
20100104     9 32 17    57.6800      200
20100104     9 32 17    57.6800      100
20100104     9 32 17    57.6822      100
20100104     9 32 17    57.6800      100
20100104     9 32 17    57.6800      100
20100104     9 32 18    57.6800      100
20100104     9 32 18    57.6800      100
20100104     9 32 20    57.6400      100
20100104     9 32 20    57.6500      100
20100104     9 32 20    57.6400      100
20100104     9 32 20    57.6950      100
20100104     9 32 21    57.6500      100
20100104     9 32 21    57.6580     1000
20100104     9 32 21    57.7000      100
20100104     9 32 21    57.6510      105
20100104     9 32 21    57.6500      100
20100104     9 32 22    57.6555      400
20100104     9 32 22    57.7000      100
20100104     9 32 22    57.6900      100
