  PERMNO        date            ko         vwretd
   11308    19930930      -0.022017      0.000641
   11308    19931029       0.026627      0.018064
   11308    19931130      -0.027781     -0.017606
   11308    19931231       0.062500      0.019515
   11308    19940131      -0.084034      0.031466
   11308    19940228       0.042813     -0.024226
   11308    19940331      -0.042346     -0.045795
   11308    19940429       0.027692      0.009478
   11308    19940531      -0.035928      0.009360
   11308    19940630       0.014161     -0.027909
   11308    19940729       0.092308      0.030633
   11308    19940831       0.036620      0.042597
   11308    19940930       0.061304     -0.018363
   11308    19941031       0.035990      0.014520
   11308    19941130       0.018759     -0.037219
   11308    19941230       0.007335      0.012609
   11308    19950131       0.019417      0.020399
   11308    19950228       0.047619      0.039615
   11308    19950331       0.029000      0.027041
   11308    19950428       0.031042      0.025048
   11308    19950531       0.060215      0.034007
   11308    19950630       0.038053      0.031173
   11308    19950731       0.029412      0.040783
   11308    19950831      -0.020952      0.009304
   11308    19950929       0.077354      0.036363
   11308    19951031       0.041667     -0.011317
   11308    19951130       0.056974      0.042808
   11308    19951229      -0.019802      0.015190
   11308    19960131       0.015152      0.028141
   11308    19960229       0.071310      0.016310
   11308    19960329       0.027864      0.010927
   11308    19960430      -0.015106      0.025511
   11308    19960531       0.128834      0.026802
   11308    19960628       0.067935     -0.008298
   11308    19960731      -0.043367     -0.053819
   11308    19960830       0.072000      0.032463
   11308    19960930       0.014925      0.053035
   11308    19961031      -0.007371      0.013739
   11308    19961129       0.014851      0.065569
   11308    19961231       0.029340     -0.011388
   11308    19970131       0.099762      0.053473
   11308    19970228       0.053996     -0.001122
   11308    19970331      -0.083770     -0.044868
   11308    19970430       0.141256      0.042373
   11308    19970530       0.076621      0.071624
   11308    19970630      -0.005255      0.044095
   11308    19970731       0.016544      0.076514
   11308    19970829      -0.170886     -0.036290
   11308    19970930       0.066783      0.058499
   11308    19971031      -0.071721     -0.034436
   11308    19971128       0.106225      0.030404
   11308    19971231       0.067000      0.017817
   11308    19980130      -0.029053      0.004502
   11308    19980227       0.059846      0.073303
   11308    19980331       0.130601      0.051301
   11308    19980430      -0.020178      0.010904
   11308    19980529       0.032949     -0.025748
   11308    19980630       0.092823      0.031944
   11308    19980731      -0.058480     -0.023367
   11308    19980831      -0.190994     -0.157844
   11308    19980930      -0.112860      0.063827
   11308    19981030       0.172451      0.074393
