category change duration size
6 0.01 0.60457 2
2 -0.016 0.64879 4
1 -0.044 6.84382 1
4 0 12.04133 1
4 0 14.03539 1
4 0 1.36114 1
4 0 0 1
4 0 0 1
7 0.03 0.00015 1
1 -0.03 5e-05 1
4 0 7.93829 1
6 0.01 9.999996e-06 1
2 -0.01 0 1
6 0.01 0.00015 1
7 0.09 0.00585 1
1 -0.1 1.73375 1
7 0.05 2.79668 18
7 0.04 2.47015 1
1 -0.08 1.06209 1
2 -0.01 0 1
6 0.01 5e-05 1
4 0 0.00015 1
2 -0.01 5.7085 1
4 0 0.02769 1
4 0 7e-04 0.62
2 -0.01 0.00093 1
4 0 0.00027 1
4 0 0.00061 1
7 0.04 1.04892 1
4 0 0 1
2 -0.02 0.00017 1
4 0 0.00022 1
4 0 0 1
6 0.02 5e-04 1
2 -0.02 0.00461 1
4 0 0.00208 1
6 0.02 0.112 1
1 -0.04 0.36399 1
5 1e-04 0.00213 2
5 0.0099 0.0203 1
1 -0.04 0.081 0.5
7 0.0599 6.48792 0.63
1 -0.0299 3.34931 1
6 0.01 0.76226 1
2 -0.01 0.00076 2
4 0 0.00165 1
6 0.01 0.00491 1
4 0 0.00052 1
6 0.01 0.00996 1
4 0 0.00024 1
1 -0.02 0.00232 1
5 0.005 4e-04 1
5 0.005 0.00267 1
4 0 0.00094 1
6 0.01 0.01668 1
2 -0.015 0.24309 4
7 0.025 0 1
1 -0.03 4.4087 0.63
3 -0.01 0.01091 1
4 0 1e-05 0.01
4 0 5e-05 0.99
4 0 0 3.01
4 0 4.000001e-05 0.99
4 0 9.999996e-06 0.99
4 0 0 0.38
3 -0.005 1e-05 1
7 0.025 0.01117 1
3 -0.005 0.05807 1
4 0 3.09974 1
4 0 0.00092 1
2 -0.015 2.22383 1
4 0 9e-05 1
2 -0.01 0.00147 1
4 0 0 2
4 0 9.999996e-06 1
4 0 0.00016 1
4 0 0.00011 1
4 0 0.00011 0.5
4 0 4.000001e-05 0.5
2 -0.01 8e-05 1
4 0 0 1
7 0.02 0.02651 1
5 0.01 0 1
2 -0.02 0.00037 1
4 0 0.00094 1
4 0 0 1
2 -0.01 0.4351951 0.88
4 0 5.421583 0.01
4 0 0.000153 0.01
3 -0.01 0.001884 1
4 0 4.000001e-06 1
4 0 3.3e-05 1
2 -0.01 0.000601 0.5
4 0 3.9e-05 0.5
6 0.01 4.8e-05 1
4 0 0 1
4 0 0.000201 1
4 0 0.000918 1
4 0 0.003467 1
4 0 0.010188 1
4 0 0.004544 1
2 -0.01 0.04202 1
7 0.03 0.001252 1
2 -0.02 0.000708 1
4 0 0.001761 1
6 0.02 0.017329 1
4 0 3.000001e-06 1
2 -0.02 0.035138 1
4 0 0.799046 1
4 0 0.663179 1
5 0.005 0.930183 1
6 0.015 1e-06 1
4 0 0 2
4 0 0.000278 1
3 -0.005 0.038885 1
6 0.015 2.354189 0.01
2 -0.01 0.00038 1
6 0.01 2.10758 1
2 -0.015 0.00071 1
3 -0.005 0.00351 1
6 0.01 0.00023 0.65
6 0.02 0.21557 1
1 -0.03 0.78422 0.65
7 0.0299 2.57311 0.18
2 -0.0199 0.68604 1
4 0 0.00027 1
4 0 0.00064 1
3 -0.0066 4.87216 3
7 0.0266 4.33765 20
4 0 0.08707 1
4 0 0.10377 4.68
4 0 0.00012 4.66
4 0 4e-05 4.66
4 0 0.00769 1
4 0 0.02385 1
2 -0.015 0.30298 1
6 0.015 9.999996e-06 0.31
4 0 9e-05 0.52
4 0 9.999996e-06 1
4 0 0 1
4 0 1e-05 2.52
4 0 9.999996e-06 1
4 0 2.000001e-05 1
4 0 1e-04 1.69
4 0 5e-05 1
4 0 0.00019 0.49
4 0 9.999996e-06 1
4 0 6e-05 1
4 0 0 0.2
4 0 0.00012 1.69
4 0 2e-05 0.75
4 0 6e-05 0.87
2 -0.015 7e-05 1
6 0.015 0 1
4 0 0.00024 0.31
4 0 4e-05 0.69
4 0 0.00228 1
4 0 0.00418 3
4 0 0.01377 1
4 0 0.00198 1
6 0.01 0.00111 1
6 0.01 0.00515 2
2 -0.01 0.01737 1
2 -0.01 0.08906 1
6 0.01 1.62551 0.07
4 0 0.00042 0.39
7 0.04 1.71515 2
1 -0.04 5e-04 1
7 0.04 0.01865 1
1 -0.04 0.0375 1
1 -0.023 3.68409 4
7 0.063 0.02471 1
1 -0.035 0.00053 7
7 0.035 0.00639 1
1 -0.035 0.04582 1
7 0.025 1.3092 0.01
2 -0.02 8.37363 1
5 0.005 2.25782 1
1 -0.025 2.64821 2
4 0 1.96729 1
3 -0.01 3e-05 1
4 0 0 0.75
4 0 9.999996e-06 0.25
5 0.01 0.00012 1
4 0 0.00015 1
3 -0.01 0.00018 1
2 -0.01 4.000001e-05 0.99
4 0 0.01009 1
4 0 4e-05 1
4 0 0 2
2 -0.01 0.0013 1
4 0 0 1
4 0 9.999996e-06 1
4 0 0 1
4 0 1e-05 2
4 0 0 1
4 0 2e-05 2
3 -0.01 5e-05 1
4 0 0 2
2 -0.01 8.999999e-05 0.13
4 0 0.00045 0.62
4 0 9e-05 0.25
6 0.02 3e-05 0.62
2 -0.02 0.00136 1
3 -0.01 0.00042 1
2 -0.01 8e-05 0.87
7 0.07 0.09911 1
1 -0.04 4.70516 1
4 0 1e-05 1
4 0 0.00019 1
4 0 6e-05 1
4 0 0 1
7 0.04 1.59301 1
7 0.02 39.51188 0.01
1 -0.02 0.66006 1
7 0.03 1.15883 1
4 0 1e-05 1.77
4 0 0 0.02
4 0 0 0.21
4 0 6e-04 1
2 -0.02 9e-05 1
6 0.02 9.999996e-06 1
4 0 1e-05 1
2 -0.02 0.00066 1
6 0.02 0 1
4 0 1e-05 1
4 0 7e-05 0.45
2 -0.02 0.00188 4
2 -0.01 1.48973 3.98
4 0 2e-05 1
4 0 0.00092 0.02
4 0 2.4442 1
6 0.01 0.0243 1
4 0 0.00128 1
2 -0.01 1.70716 1
4 0 0 1
3 -0.01 0.53331 2
4 0 6.999999e-05 1
4 0 0.00091 2
4 0 4e-05 1
4 0 1.23901 1
2 -0.01 6.51522 1
4 0 0 2
4 0 0 1
4 0 0.23754 1
4 0 1.28457 0.5
4 0 0 0.5
4 0 0.00095 1
